,Anon Student Id,Answer,Axes,Choose-Principle,Choose-Sought,Equation,Explain-Further,NextStepHelp,Variable,Whats-Wrong
0,Stu_11eed491c49d08923078a99c3689faa6,82.0,51.0,62.0,77.0,312.0,1421.0,505.0,147.0,69.0
0,Stu_16d36e81d1d34630d27d8fd8b9d99d53,99.0,57.0,77.0,87.0,436.0,2138.0,818.0,212.0,37.0
0,Stu_1712d2d13ed773fddf0c9a59ad099b21,0.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,4.0
0,Stu_18d58be83dc070054ca65038cc2293b4,69.0,34.0,33.0,31.0,156.0,642.0,247.0,68.0,34.0
0,Stu_1a24bc4f1db0936c28f45176d3c425a7,15.0,40.0,46.0,42.0,462.0,436.0,247.0,160.0,92.0
0,Stu_1db2de9e075e4283c309c2b32ac8efea,64.0,15.0,0.0,0.0,69.0,6.0,1.0,10.0,9.0
0,Stu_2542d77cabfb681268d0ee3d36c17dd9,0.0,2.0,0.0,0.0,11.0,1.0,1.0,1.0,4.0
0,Stu_27a2f0ca42ee44567c30076837f53f48,78.0,8.0,0.0,0.0,29.0,3.0,1.0,0.0,1.0
0,Stu_2adf06cfac379da9df00c0932ff57815,87.0,58.0,65.0,62.0,474.0,682.0,357.0,215.0,108.0
0,Stu_2f0f2249b084a148d46b1d8526c7633e,145.0,49.0,74.0,89.0,370.0,1750.0,665.0,203.0,81.0
0,Stu_36cb8f6ae8bd15bddfd26f719ee63d62,61.0,55.0,11.0,20.0,151.0,220.0,94.0,48.0,28.0
0,Stu_380c621450ee522f0c3fcf64ff93de04,148.0,86.0,90.0,107.0,1446.0,918.0,514.0,369.0,258.0
0,Stu_38267f31669986ad4f01c81b29962fb0,37.0,27.0,13.0,13.0,59.0,261.0,99.0,80.0,44.0
0,Stu_38679915328f788442344441350bff83,237.0,68.0,78.0,89.0,645.0,1198.0,623.0,273.0,46.0
0,Stu_3969d587269fd0cc06eeb47f63be6a2f,110.0,76.0,85.0,103.0,431.0,1562.0,831.0,258.0,67.0
0,Stu_3aa803ea143b54dcd21f92452b2f81a0,132.0,58.0,89.0,102.0,399.0,1831.0,767.0,220.0,23.0
0,Stu_3d773d2060fe50888fa4aaba4678c66b,29.0,28.0,54.0,36.0,165.0,926.0,342.0,71.0,6.0
0,Stu_3e5f21c9689147a8249989860897ca80,128.0,63.0,107.0,105.0,926.0,954.0,558.0,325.0,125.0
0,Stu_459071c111841a51cf54c961b9541dde,30.0,25.0,26.0,31.0,192.0,541.0,217.0,64.0,20.0
0,Stu_50354734f50add1a5296da6ed0d88ddd,71.0,43.0,38.0,36.0,596.0,378.0,207.0,192.0,94.0
0,Stu_504d2f1703d608557533e44c13086fae,16.0,20.0,20.0,17.0,54.0,251.0,101.0,30.0,36.0
0,Stu_53b76839f43c43097c83d180410e1dfe,83.0,54.0,113.0,109.0,347.0,1565.0,588.0,193.0,55.0
0,Stu_59331081b37e648c3f19316804a3168d,137.0,68.0,67.0,83.0,836.0,896.0,424.0,285.0,133.0
0,Stu_5b9e06f85f7b46a04762d6eb9d9e23b6,119.0,50.0,105.0,124.0,282.0,1309.0,499.0,200.0,87.0
0,Stu_5e1e686ae6f6663b40969b73c9767ef3,152.0,71.0,63.0,71.0,1447.0,510.0,310.0,270.0,148.0
0,Stu_68ef9158025d53017d705b96cb23585d,146.0,54.0,64.0,71.0,377.0,1286.0,515.0,155.0,41.0
0,Stu_744f178fb179e343026d014741d53cb8,149.0,46.0,8.0,12.0,223.0,291.0,122.0,76.0,41.0
0,Stu_7dcbcc96de319a0b982003ebc9e81fc0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0,Stu_7df783e62d18b2b08302cb77c5d234b4,92.0,54.0,85.0,88.0,384.0,2020.0,782.0,181.0,63.0
0,Stu_842154b90a3f4c1efc57673a8f739ee8,223.0,82.0,106.0,94.0,622.0,1774.0,719.0,272.0,79.0
0,Stu_84cbb7080fbc0c94b9d64d95013a134c,97.0,88.0,31.0,30.0,1091.0,111.0,155.0,291.0,103.0
0,Stu_8731e0003fc05979d636dafed980960e,46.0,28.0,27.0,31.0,195.0,441.0,197.0,70.0,42.0
0,Stu_890fc2ca78db28fdbf70d3eb0f2af054,37.0,20.0,10.0,8.0,155.0,235.0,78.0,39.0,17.0
0,Stu_8ed9d19b40e082b6ad1174db66589ee4,115.0,59.0,75.0,80.0,817.0,718.0,345.0,250.0,93.0
0,Stu_90f6102e2d8cfbb28fd722f4e152a310,134.0,61.0,89.0,91.0,418.0,1045.0,446.0,222.0,36.0
0,Stu_9c611085c4b198785ba2dc0f726f8c08,10.0,0.0,0.0,0.0,4.0,13.0,2.0,0.0,1.0
0,Stu_a0b8a141faeb0d509f8e2888b3029e29,114.0,43.0,49.0,54.0,243.0,1184.0,474.0,110.0,94.0
0,Stu_a36bdfb1844d67e97e10e0226f5ddcc2,91.0,63.0,42.0,59.0,340.0,929.0,431.0,170.0,41.0
0,Stu_a8f0874ca87bc04484b52b340197c75a,101.0,65.0,62.0,80.0,596.0,835.0,386.0,238.0,76.0
0,Stu_aaf060582541ca04558bb142110f5cf9,47.0,32.0,15.0,30.0,276.0,300.0,126.0,84.0,84.0
0,Stu_af1a55f772526ae92577e5c14d955729,50.0,7.0,0.0,1.0,0.0,53.0,17.0,0.0,8.0
0,Stu_c4011f661cce2ee23a075b409d813671,170.0,50.0,65.0,96.0,336.0,1548.0,587.0,189.0,47.0
0,Stu_c990df0e26440c9d3c63b9e3f5a069de,25.0,20.0,14.0,16.0,140.0,141.0,65.0,30.0,41.0
0,Stu_ccb2c386771911bdad9ac51651ec918e,42.0,5.0,0.0,13.0,45.0,68.0,36.0,4.0,11.0
0,Stu_cdc428c9b50b63477fb093c8502a6464,109.0,64.0,46.0,55.0,941.0,454.0,226.0,207.0,36.0
0,Stu_ce79177213b7f4cd9ad3c339a86dc60a,133.0,61.0,91.0,97.0,500.0,1464.0,590.0,236.0,48.0
0,Stu_cfd91da0a898aec57c207cb715bdd8b5,142.0,25.0,2.0,3.0,139.0,36.0,23.0,47.0,23.0
0,Stu_d00921af572b9a8bf0a1054902fd90fd,62.0,41.0,49.0,53.0,557.0,1032.0,438.0,145.0,29.0
0,Stu_d1a0e56259ba39c4385797627bb1a725,155.0,63.0,45.0,56.0,652.0,682.0,314.0,225.0,102.0
0,Stu_d4e722d87bd97792f19ec2ef82bace2d,111.0,6.0,0.0,0.0,4.0,8.0,1.0,1.0,2.0
0,Stu_d6abf8c165c5cbbeec72fcdb136010dc,27.0,32.0,59.0,59.0,354.0,1182.0,427.0,140.0,91.0
0,Stu_dbcba45622e36075ce3e9aa68f58885d,121.0,70.0,63.0,66.0,1042.0,470.0,290.0,265.0,97.0
0,Stu_ddba755726b42da298e07667441f6446,114.0,48.0,59.0,59.0,368.0,773.0,331.0,159.0,71.0
0,Stu_ddf2fad5b1e0d5a330d956743e591cec,64.0,47.0,35.0,36.0,374.0,419.0,234.0,98.0,67.0
0,Stu_e1a82006c70a48a29c79d5e42bc799db,119.0,52.0,71.0,94.0,891.0,749.0,435.0,312.0,72.0
0,Stu_e485b3774f50258091e3a830b5f59ed0,118.0,63.0,61.0,92.0,639.0,788.0,391.0,200.0,81.0
0,Stu_e78647f6261dd28d422cdb258cfb02ea,187.0,27.0,0.0,0.0,22.0,7.0,2.0,0.0,7.0
0,Stu_ec98f93e6b1670381948d0be75bbcad3,83.0,65.0,74.0,80.0,585.0,600.0,307.0,251.0,21.0
