,Anon Student Id,Answer,Axes,Vector,Choose-Principle,Choose-Sought,Equation,Explain-Further,NextStepHelp,Variable,Whats-Wrong,Solve,labels
0,Stu_11eed491c49d08923078a99c3689faa6,0.345991561,0.579545455,0.343166175,0.548672566,0.620967742,0.215618521,0.66463985,0.607701564,0.398373984,0.26744186,0.536764706,0
1,Stu_16d36e81d1d34630d27d8fd8b9d99d53,0.417721519,0.647727273,0.506391347,0.681415929,0.701612903,0.301313062,1,0.984356197,0.574525745,0.143410853,0.595588235,2
2,Stu_1712d2d13ed773fddf0c9a59ad099b21,0,0.034090909,0.013765978,0,0,0,0.003274088,0.001203369,0,0.015503876,0,1
3,Stu_18d58be83dc070054ca65038cc2293b4,0.291139241,0.386363636,0.15339233,0.292035398,0.25,0.107809261,0.300280636,0.29723225,0.184281843,0.131782946,0.191176471,0
4,Stu_1a24bc4f1db0936c28f45176d3c425a7,0.063291139,0.454545455,0.227138643,0.407079646,0.338709677,0.319281272,0.203928906,0.29723225,0.433604336,0.356589147,0.213235294,0
5,Stu_1db2de9e075e4283c309c2b32ac8efea,0.270042194,0.170454545,0.07079646,0,0,0.047684865,0.002806361,0.001203369,0.027100271,0.034883721,0.047794118,1
6,Stu_2542d77cabfb681268d0ee3d36c17dd9,0,0.022727273,0.010816126,0,0,0.007601935,0.000467727,0.001203369,0.002710027,0.015503876,0.003676471,1
7,Stu_27a2f0ca42ee44567c30076837f53f48,0.329113924,0.090909091,0.006882989,0,0,0.020041465,0.001403181,0.001203369,0,0.003875969,0.040441176,1
8,Stu_2adf06cfac379da9df00c0932ff57815,0.367088608,0.659090909,0.364798427,0.575221239,0.5,0.327574292,0.31898971,0.429602888,0.582655827,0.418604651,0.698529412,0
9,Stu_2f0f2249b084a148d46b1d8526c7633e,0.611814346,0.556818182,0.295968535,0.654867257,0.717741935,0.255701451,0.818521983,0.800240674,0.550135501,0.313953488,0.514705882,2
10,Stu_36cb8f6ae8bd15bddfd26f719ee63d62,0.257383966,0.625,0.071779744,0.097345133,0.161290323,0.104353836,0.102899906,0.113116727,0.130081301,0.108527132,0.176470588,1
11,Stu_380c621450ee522f0c3fcf64ff93de04,0.624472574,0.977272727,0.689282203,0.796460177,0.862903226,0.999308915,0.429373246,0.618531889,1,1,1,0
12,Stu_38267f31669986ad4f01c81b29962fb0,0.156118143,0.306818182,0.110127827,0.115044248,0.10483871,0.040774015,0.122076707,0.119133574,0.216802168,0.170542636,0.088235294,1
13,Stu_38679915328f788442344441350bff83,1,0.772727273,0.534906588,0.690265487,0.717741935,0.445749827,0.560336763,0.749699158,0.739837398,0.178294574,0.661764706,2
14,Stu_3969d587269fd0cc06eeb47f63be6a2f,0.464135021,0.863636364,0.417895772,0.752212389,0.830645161,0.297857636,0.730589336,1,0.699186992,0.259689922,0.610294118,2
15,Stu_3aa803ea143b54dcd21f92452b2f81a0,0.556962025,0.659090909,0.328416912,0.787610619,0.822580645,0.275742916,0.856407858,0.922984356,0.596205962,0.089147287,0.378676471,2
16,Stu_3d773d2060fe50888fa4aaba4678c66b,0.122362869,0.318181818,0.142576205,0.477876106,0.290322581,0.114029026,0.433115061,0.411552347,0.192411924,0.023255814,0.220588235,0
17,Stu_3e5f21c9689147a8249989860897ca80,0.540084388,0.715909091,1,0.946902655,0.846774194,0.639944713,0.446211413,0.671480144,0.880758808,0.484496124,0.827205882,0
18,Stu_459071c111841a51cf54c961b9541dde,0.126582278,0.284090909,0.137659784,0.230088496,0.25,0.132688321,0.253040225,0.261131167,0.173441734,0.07751938,0.191176471,0
19,Stu_50354734f50add1a5296da6ed0d88ddd,0.299578059,0.488636364,0.352999017,0.336283186,0.290322581,0.411886662,0.176800748,0.249097473,0.520325203,0.364341085,0.419117647,0
20,Stu_504d2f1703d608557533e44c13086fae,0.067510549,0.227272727,0.084562439,0.17699115,0.137096774,0.03731859,0.117399439,0.121540313,0.081300813,0.139534884,0.047794118,1
21,Stu_53b76839f43c43097c83d180410e1dfe,0.35021097,0.613636364,0.415929204,1,0.879032258,0.239806496,0.731992516,0.707581227,0.52303523,0.213178295,0.492647059,2
22,Stu_59331081b37e648c3f19316804a3168d,0.578059072,0.772727273,0.510324484,0.592920354,0.669354839,0.577747063,0.419083255,0.51022864,0.772357724,0.515503876,0.658088235,0
23,Stu_5b9e06f85f7b46a04762d6eb9d9e23b6,0.502109705,0.568181818,0.427728614,0.92920354,1,0.194885971,0.612254443,0.600481348,0.54200542,0.337209302,0.801470588,2
24,Stu_5e1e686ae6f6663b40969b73c9767ef3,0.641350211,0.806818182,0.597836775,0.557522124,0.572580645,1,0.238540692,0.373044525,0.731707317,0.573643411,0.911764706,0
25,Stu_68ef9158025d53017d705b96cb23585d,0.616033755,0.613636364,0.295968535,0.566371681,0.572580645,0.260539046,0.601496726,0.619735259,0.420054201,0.158914729,0.735294118,0
26,Stu_744f178fb179e343026d014741d53cb8,0.628691983,0.522727273,0.33726647,0.07079646,0.096774194,0.154111956,0.136108513,0.146811071,0.20596206,0.158914729,0.154411765,1
27,Stu_7dcbcc96de319a0b982003ebc9e81fc0,0,0,0,0,0,0.00138217,0,0,0,0,0,1
28,Stu_7df783e62d18b2b08302cb77c5d234b4,0.388185654,0.613636364,0.362831858,0.752212389,0.709677419,0.265376641,0.944808232,0.941034898,0.490514905,0.244186047,0.360294118,2
29,Stu_842154b90a3f4c1efc57673a8f739ee8,0.94092827,0.931818182,0.470993117,0.938053097,0.758064516,0.429854872,0.829747428,0.865222623,0.737127371,0.30620155,0.985294118,2
30,Stu_84cbb7080fbc0c94b9d64d95013a134c,0.4092827,1,0.520157325,0.274336283,0.241935484,0.753973739,0.05191768,0.186522262,0.788617886,0.399224806,0.444852941,0
31,Stu_8731e0003fc05979d636dafed980960e,0.194092827,0.318181818,0.157325467,0.238938053,0.25,0.134761576,0.20626754,0.237063779,0.189701897,0.162790698,0.341911765,0
32,Stu_890fc2ca78db28fdbf70d3eb0f2af054,0.156118143,0.227272727,0.076696165,0.088495575,0.064516129,0.107118176,0.109915809,0.093862816,0.105691057,0.065891473,0.191176471,1
33,Stu_8ed9d19b40e082b6ad1174db66589ee4,0.485232068,0.670454545,0.423795477,0.663716814,0.64516129,0.564616448,0.335827877,0.415162455,0.677506775,0.360465116,0.613970588,0
34,Stu_90f6102e2d8cfbb28fd722f4e152a310,0.565400844,0.693181818,0.339233038,0.787610619,0.733870968,0.288873531,0.488774556,0.536702768,0.601626016,0.139534884,0.720588235,2
35,Stu_9c611085c4b198785ba2dc0f726f8c08,0.042194093,0,0.003933137,0,0,0.00276434,0.006080449,0.002406739,0,0.003875969,0,1
36,Stu_a0b8a141faeb0d509f8e2888b3029e29,0.481012658,0.488636364,0.299901672,0.433628319,0.435483871,0.167933656,0.553788587,0.570397112,0.298102981,0.364341085,0.415441176,0
37,Stu_a36bdfb1844d67e97e10e0226f5ddcc2,0.383966245,0.715909091,0.239921337,0.371681416,0.475806452,0.234968901,0.434518241,0.518652226,0.460704607,0.158914729,0.705882353,0
38,Stu_a8f0874ca87bc04484b52b340197c75a,0.426160338,0.738636364,0.425762045,0.548672566,0.64516129,0.411886662,0.390551918,0.464500602,0.64498645,0.294573643,0.525735294,0
39,Stu_aaf060582541ca04558bb142110f5cf9,0.198312236,0.363636364,0.24287119,0.132743363,0.241935484,0.190739461,0.140318054,0.151624549,0.227642276,0.325581395,0.110294118,0
40,Stu_af1a55f772526ae92577e5c14d955729,0.210970464,0.079545455,0.037364798,0,0.008064516,0,0.024789523,0.02045728,0,0.031007752,0,1
41,Stu_c4011f661cce2ee23a075b409d813671,0.717299578,0.568181818,0.327433628,0.575221239,0.774193548,0.232204561,0.72404116,0.706377858,0.512195122,0.182170543,0.606617647,2
42,Stu_c990df0e26440c9d3c63b9e3f5a069de,0.105485232,0.227272727,0.108161259,0.123893805,0.129032258,0.0967519,0.065949486,0.078219013,0.081300813,0.158914729,0.165441176,1
